331 U.S. 145,67 S. Ct. 1098,91 L. Ed. 1399,1947 U.S. LEXIS 2936,HARRIS v. UNITED STATES,5/5/1947,2
331 U.S. 199,67 S. Ct. 1178,91 L. Ed. 1432,1947 U.S. LEXIS 2937,149 MADISON AVENUE CORP. ET AL. v. ASSELTA ET AL.,5/5/1947,2
331 U.S. 210,67 S. Ct. 1175,91 L. Ed. 1441,1947 U.S. LEXIS 2994,COMMISSIONER OF INTERNAL REVENUE v. MUNTER,5/5/1947,4
331 U.S. 218,67 S. Ct. 1146,91 L. Ed. 1447,1947 U.S. LEXIS 2938,RICE ET AL. v. SANTA FE ELEVATOR CORP. ET AL.,5/5/1947,7
331 U.S. 247,67 S. Ct. 1160,91 L. Ed. 1468,1947 U.S. LEXIS 2319,RICE ET AL. v. BOARD OF TRADE OF THE CITY OF CHICAGO,5/5/1947,3
331 U.S. 256,67 S. Ct. 1287,91 L. Ed. 1474,1947 U.S. LEXIS 2867,UNITED STATES v. FULLARD-LEO ET AL.,5/12/1947,2
331 U.S. 284,67 S. Ct. 1207,91 L. Ed. 1492,1947 U.S. LEXIS 2898,NEW YORK ET AL. v. UNITED STATES ET AL.,5/12/1947,2
331 U.S. 367,67 S. Ct. 1249,91 L. Ed. 1546,1947 U.S. LEXIS 2266,"CRAIG ET AL. v. HARNEY, SHERIFF",5/19/1947,3
331 U.S. 398,67 S. Ct. 1265,91 L. Ed. 1563,1947 U.S. LEXIS 2850,NATIONAL LABOR RELATIONS BOARD v. E. C. ATKINS & CO.,5/19/1947,3
331 U.S. 416,67 S. Ct. 1274,91 L. Ed. 1575,1947 U.S. LEXIS 2933,NATIONAL LABOR RELATIONS BOARD v. JONES & LAUGHLIN STEEL CORP.,5/19/1947,3
331 U.S. 432,67 S. Ct. 1283,91 L. Ed. 1585,1947 U.S. LEXIS 2267,"UNITED STATES v. WALSH, TRADING AS KELP LABORATORIES",5/19/1947,3
331 U.S. 461,67 S. Ct. 1340,91 L. Ed. 1602,1947 U.S. LEXIS 2849,"COPE v. ANDERSON, RECEIVER",6/2/1947,3
331 U.S. 469,67 S. Ct. 1330,91 L. Ed. 1610,1947 U.S. LEXIS 2202,"UNITED STATES v. SMITH, U.S. DISTRICT JUDGE, ET AL.",6/2/1947,3
